2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:124 - Richardson John After Deposit Balance is: 3000
2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Richardson John
2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:113 - Amount added again: 3213
2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Richardson John
2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:124 - Richardson John After Deposit Balance is: 6213
2023-02-08 16:43:09 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Richardson John
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:107 - Williams Roberta Before Balance: 0
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:113 - Amount added again: 1000
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Williams Roberta
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:124 - Williams Roberta After Deposit Balance is: 1000
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Williams Roberta
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:113 - Amount added again: 2000
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Williams Roberta
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:124 - Williams Roberta After Deposit Balance is: 3000
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Williams Roberta
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:113 - Amount added again: 3213
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Williams Roberta
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:124 - Williams Roberta After Deposit Balance is: 6213
2023-02-08 16:43:13 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Williams Roberta
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:107 - Smith James Before Balance: 0
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:113 - Amount added again: 1000
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Smith James
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:124 - Smith James After Deposit Balance is: 1000
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Smith James
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:113 - Amount added again: 2000
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Smith James
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:124 - Smith James After Deposit Balance is: 3000
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Smith James
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:113 - Amount added again: 3213
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:117 - Amount Entered
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:121 - Deposit Successful to : Smith James
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:124 - Smith James After Deposit Balance is: 6213
2023-02-08 16:43:17 INFO  CustomerLogin:depositAmount:127 - Deposit amount updated successfull to :Smith James
2023-02-08 16:43:21 INFO  CustomerLogin:withdrawlAmount:191 - Mitchell Roy Before Balance: 6213
2023-02-08 16:43:22 INFO  CustomerLogin:withdrawlAmount:207 - Mitchell Roy After Deposit Balance is: 5213
2023-02-08 16:43:22 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Mitchell Roy
2023-02-08 16:43:22 INFO  CustomerLogin:withdrawlAmount:207 - Mitchell Roy After Deposit Balance is: 3213
2023-02-08 16:43:22 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Mitchell Roy
2023-02-08 16:43:23 INFO  CustomerLogin:withdrawlAmount:207 - Mitchell Roy After Deposit Balance is: 0
2023-02-08 16:43:23 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Mitchell Roy
2023-02-08 16:43:26 INFO  CustomerLogin:withdrawlAmount:191 - Richardson John Before Balance: 6213
2023-02-08 16:43:26 INFO  CustomerLogin:withdrawlAmount:207 - Richardson John After Deposit Balance is: 5213
2023-02-08 16:43:26 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Richardson John
2023-02-08 16:43:26 INFO  CustomerLogin:withdrawlAmount:207 - Richardson John After Deposit Balance is: 3213
2023-02-08 16:43:26 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Richardson John
2023-02-08 16:43:27 INFO  CustomerLogin:withdrawlAmount:207 - Richardson John After Deposit Balance is: 0
2023-02-08 16:43:27 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Richardson John
2023-02-08 16:43:30 INFO  CustomerLogin:withdrawlAmount:191 - Williams Roberta Before Balance: 6213
2023-02-08 16:43:30 INFO  CustomerLogin:withdrawlAmount:207 - Williams Roberta After Deposit Balance is: 5213
2023-02-08 16:43:30 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Williams Roberta
2023-02-08 16:43:31 INFO  CustomerLogin:withdrawlAmount:207 - Williams Roberta After Deposit Balance is: 3213
2023-02-08 16:43:31 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Williams Roberta
2023-02-08 16:43:31 INFO  CustomerLogin:withdrawlAmount:207 - Williams Roberta After Deposit Balance is: 0
2023-02-08 16:43:31 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Williams Roberta
2023-02-08 16:43:34 INFO  CustomerLogin:withdrawlAmount:191 - Smith James Before Balance: 6213
